Node 3count51,hrs:12,min:20,sec:50,RSSI-58,SNR6.0 
Node 3count52,hrs:12,min:21,sec:20,RSSI-57,SNR6.25 
Node 3count53,hrs:12,min:21,sec:30,RSSI-58,SNR6.25 
Node 3count54,hrs:12,min:21,sec:50,RSSI-57,SNR5.75 
Node 3count55,hrs:12,min:22,sec:20,RSSI-58,SNR5.75 
Node 3count56,hrs:12,min:22,sec:30,RSSI-58,SNR6.0 
Node 3count57,hrs:12,min:22,sec:50,RSSI-60,SNR6.0 
Node 3count58,hrs:12,min:23,sec:20,RSSI-59,SNR6.0 
Node 3count59,hrs:12,min:23,sec:30,RSSI-60,SNR6.0 
Node 3count60,hrs:12,min:23,sec:50,RSSI-60,SNR6.0 
Node 3count61,hrs:12,min:24,sec:20,RSSI-59,SNR6.0 
Node 3count62,hrs:12,min:24,sec:30,RSSI-59,SNR6.5 
Node 3count63,hrs:12,min:24,sec:50,RSSI-58,SNR5.75 
Node 3count64,hrs:12,min:25,sec:20,RSSI-58,SNR5.5 
Node 3count65,hrs:12,min:25,sec:30,RSSI-60,SNR6.0 
Node 3count66,hrs:12,min:25,sec:50,RSSI-58,SNR5.5 
Node 3count67,hrs:12,min:26,sec:20,RSSI-60,SNR6.0 
Node 3count68,hrs:12,min:26,sec:30,RSSI-58,SNR6.0 
Node 3count69,hrs:12,min:26,sec:50,RSSI-58,SNR5.75 
Node 3count70,hrs:12,min:27,sec:20,RSSI-61,SNR6.25 
Node 3count71,hrs:12,min:27,sec:30,RSSI-59,SNR5.75 
Node 3count72,hrs:12,min:27,sec:50,RSSI-58,SNR5.75 
Node 3count73,hrs:12,min:28,sec:20,RSSI-60,SNR6.0 
Node 3count74,hrs:12,min:28,sec:30,RSSI-61,SNR6.5 
Node 3count75,hrs:12,min:28,sec:50,RSSI-58,SNR6.0 
Node 3count76,hrs:12,min:29,sec:20,RSSI-58,SNR5.75 
Node 3count77,hrs:12,min:29,sec:30,RSSI-57,SNR6.0 
Node 3count78,hrs:12,min:29,sec:50,RSSI-57,SNR5.25 
Node 3count79,hrs:12,min:30,sec:20,RSSI-57,SNR5.5 
Node 3count80,hrs:12,min:30,sec:30,RSSI-57,SNR5.5 
Nole!3count81,hrs:12,min:158,sec:50,RSSI-58,SNR2.5 
Node 3count82,hrs:12,min:31,sec:20,RSSI-60,SNR6.0 
Node 3count83,hrs:12,min:31,sec:30,RSSI-58,SNR5.25 
Node 3count84,hrs:12,min:31,sec:50,RSSI-59,SNR5.75 
Node 3count85,hrs:12,min:32,sec:20,RSSI-59,SNR6.25 
Node 3count86,hrs:12,min:32,sec:30,RSSI-61,SNR6.5 
Node 3count87,hrs:12,min:32,sec:50,RSSI-57,SNR6.25 
Node 3count88,hrs:12,min:33,sec:20,RSSI-59,SNR6.75 
Node 3count89,hrs:12,min:33,sec:30,RSSI-58,SNR6.0 
Node 3count90,hrs:12,min:33,sec:50,RSSI-57,SNR5.75 
Node 3count91,hrs:12,min:34,sec:20,RSSI-57,SNR6.25 
Node 3count92,hrs:12,min:34,sec:30,RSSI-60,SNR6.75 
Node 3count93,hrs:12,min:34,sec:50,RSSI-59,SNR6.25 
Node 3count94,hrs:12,min:35,sec:20,RSSI-57,SNR5.75 
Node 3count95,hrs:12,min:35,sec:30,RSSI-56,SNR6.5 
Node 3count96,hrs:12,min:35,sec:50,RSSI-57,SNR6.25 
Node 3count97,hrs:12,min:36,sec:20,RSSI-57,SNR6.0 
Node 3count98,hrs:12,min:36,sec:30,RSSI-57,SNR6.25 
Node 3count99,hrs:12,min:36,sec:50,RSSI-57,SNR6.0 
Node 3count100,hrs:12,min:37,sec:20,RSSI-58,SNR5.75 
Node 3count101,hrs:12,min:37,sec:30,RSSI-58,SNR5.5 
Node 3count102,hrs:12,min:37,sec:50,RSSI-59,SNR5.5 
